"Agency.Name","ABN","Value","Description","Procurement.Method","Title","Common.Title","Count","Total","Limited","Open","Prequalified","Supplier.Name"
"All","All",6.38e+09,"TUSMA Agreement as entered into by DBCDE for Standard Telephone Service (USO), Payphones (USO), Voice Only Customer Migration, Emergency Call Service and Migration of Public Interest services.","Limited tender","Components for information technology or broadcasting or telecommunications","Education and Training Services",74859,40457096950.41,20301822857.86,17321435155.19,2833838937.36,"All"
"Administrative Appeals Tribunal","All",387288.44,"SUBSCRIPTIONS 1/7/12 - 30/6/13","Limited tender","Library or documentation services","Library or documentation services",72,3436558.45,2307256.63,917006.56,212295.26,"All"
"Attorney-General's Department","All",12414268.9,"Fitout construction","Limited tender","Building construction and support and maintenance and repair services","Legal services",926,161033456.83,89799484.29,63255048.81,7978923.73,"All"
"AusAid","All",146617174.1,"Health and HIV Implementing services  (Papua New Guinea)","Open tender","Comprehensive health services","Management advisory services",1170,494630961.59,78403819.39,394024939.46,22202202.74,"All"
"Austrade","All",1701302.95,"ICT refresh project - Server and Comms equipment","Open tender","Computer Equipment and Accessories","Temporary personnel services",654,47267205.61,20709285.11,25728633.58,829286.92,"All"
"Australian Bureau of Statistics","All",10800000,"Tasmanian office lease.","Limited tender","Real estate services","Business administration services",484,62624578.43,38055199.49,22684217.44,1885161.5,"All"
"Australian Centre for International Agricultural Research","All",6458922,"&nbsp;Sustainable wheat and maize production in Afghanistan","Limited tender","Research programs","Research programs",260,86591301.6,86321622.6,97123,172556,"All"
"Australian Commission for Law Enforcement Integrity","All",545141.08,"Construction services","Limited tender","Building construction and support and maintenance and repair services","Office furniture",18,1002662.79,1002662.79,0,0,"All"
"Australian Communications and Media Authority (ACMA)","All",7077660.2,"Lease of Property Melbourne (Replaces Previous PO12523)Refer previous Contract Notification CN483939","Open tender","Lease and rental of property or building","Education and Training Services",401,43477113.13,12404025.91,30677937.22,395150,"All"
"Australian Competition and Consumer Commission","All",14951537.6,"Computer services","Open tender","Computer services","Legal services",556,69921297.87,8958170.3,60243714.57,719413,"All"
"Australian Crime Commission","All",2517024,"Office Refurbishment","Limited tender","Building construction and support and maintenance and repair services","Software maintenance and support",258,23300787.61,10439179.72,12716574.1,145033.79,"All"
"Australian Customs and Border Protection Service","All",262755616,"127433 - Property Lease","Limited tender","Lease and rental of property or building","Temporary personnel services",1654,454728244.04,363329958.93,82818504.69,8579780.42,"All"
"Australian Electoral Commission","All",12888000,"Lease for WA State Office (including divisions: Curtain, Hasluck, Perth/Stirling/Swan/Tangney)","Limited tender","Lease and rental of property or building","Temporary personnel services",377,100282069.15,43319874.3,46939137.24,10023057.61,"All"
"Australian Federal Police","All",2.9e+07,"Provision of accommodation program management services","Open tender","Hotels and motels and inns","Education and Training Services",1755,293337618.45,156003525.59,135266224.12,2067868.74,"All"
"Australian Fisheries Management Authority","All",4231152,"Fishery monitoring services","Open tender","Fisheries and aquaculture","Fisheries and aquaculture",136,18364512.46,10054854.46,7511541.19,798116.81,"All"
"Australian Human Rights Commission","All",200306.62,"Advertising - Defence Review","Open tender","Advertising","Internet services",43,1575472.46,839465.08,715756.38,20251,"All"
"Australian Institute of Family Studies","All",996711.9,"Data Collection Services","Open tender","Research programs","Research programs",29,2752384.68,283237.69,2135515.3,333631.69,"All"
"Australian Maritime Safety Authority","All",8e+07,"Emergency Towage Capability in the Great Barrier Reef and Torres Strait area (Replaces previous Contract Notice CN21030)","Open tender","Commercial marine craft","Building construction and support and maintenance and repair services",6,174743964.59,6e+06,168743964.59,0,"All"
"Australian National Audit Office (ANAO)","All",1531541,"Publishing and Printing Services for ANAO reports and brochures","Open tender","Publication printing","Audit services",224,20756984.12,2405246.91,16569077.75,1782659.46,"All"
"Australian National Preventive Health Agency","All",15746710.6,"Media Buy for Phase 2 Measure Up Campaign","Open tender","Television advertising","Corporate objectives or policy development",55,44180126.16,9513077.06,29827250.88,4839798.22,"All"
"Australian Nuclear Science and Technology Organisation (ANSTO)","All",4400000,"Period Contract to Supply Bulk and Cylinder Gases for the 5 Year Period Commencing 1 January 2011","Limited tender","Elements and gases","Laboratory and scientific equipment",9,13581809,10315576,3266233,0,"All"
"Australian Office of Financial Management","All",3822410,"Wire Services.&nbsp; This Contract amalgamates CN58778, CN58778-A1, CN58778-A2, CN58778-A3, CN58778-A4, CN8281 and CN8281-A1 which have all been cancelled.&nbsp;","Open tender","Computer services","Debt management",36,14247150.86,7548716.86,6682726,15708,"All"
"Australian Organ and Tissue Donation and Transplantation Authority","All",1649997.89,"Advertising for the DonateLife campaign","Open tender","Advertising","Printing",54,6184460.6,1119787.66,2907442.94,2157230,"All"
"Australian Pesticides and Veterinary Medicines Authority","All",260337,"Telephony hardward and maintenance","Open tender","Telephony equipment","Legal services",38,1342419.8,603545.8,539961,198913,"All"
